english,chinese
abandon,放弃
ability,能力
abnormal,异常的
abolish,废除
abroad,在国外
absence,缺席
absolute,绝对的
absorb,吸收
abstract,抽象的
abundant,丰富的
academic,学术的
accelerate,加速
accept,接受
access,访问
accident,事故
accommodate,容纳
accompany,陪伴
accomplish,完成
according,根据
account,账户
accumulate,积累
accurate,准确的
accuse,指控
achieve,实现
acknowledge,承认
acquire,获得
action,行动
active,活跃的
actual,实际的
adapt,适应
add,添加
address,地址
adequate,足够的
adjust,调整
administration,管理
admire,钦佩
admit,承认
adopt,采用
advance,前进
advantage,优势
adventure,冒险
advice,建议
advocate,提倡
affair,事务
affect,影响
afford,负担得起
afraid,害怕的
after,之后
again,再次
against,反对
age,年龄
agency,机构
agenda,议程
agent,代理人
aggressive,侵略性的
ago,以前
agree,同意
agriculture,农业
ahead,在前面
aid,援助
aim,目标
air,空气
alarm,警报
alcohol,酒精
alert,警惕的
alike,相似的
alive,活着的
all,全部
allege,声称
allow,允许
almost,几乎
alone,独自的
along,沿着
already,已经
also,也
alter,改变
alternative,替代的
although,虽然
always,总是
amaze,使惊讶
ambition,雄心
among,在...之中
amount,数量
analyze,分析
ancient,古代的
anger,愤怒
angle,角度
animal,动物
announce,宣布
annual,每年的
another,另一个
answer,回答
anticipate,预期
anxiety,焦虑
any,任何
apart,分开
apology,道歉
apparent,明显的
appeal,呼吁
appear,出现
appetite,食欲
apply,申请
appoint,任命
appreciate,欣赏
approach,接近
