english,chinese,phonetic,example
abandon,放弃,əˈbændən,He decided to abandon his studies and travel the world.
ability,能力,əˈbɪləti,She has the ability to speak three languages fluently.
abnormal,异常的,æbˈnɔːrml,The test results showed abnormal levels of cholesterol.
abolish,废除,əˈbɑːlɪʃ,The government plans to abolish the outdated law.
abroad,在国外,əˈbrɔːd,She went abroad to study for her master's degree.
absence,缺席,ˈæbsəns,His absence from the meeting was noted by everyone.
absolute,绝对的,ˈæbsəluːt,She has absolute confidence in her team.
absorb,吸收,əbˈzɔːrb,Plants absorb carbon dioxide and release oxygen.
abstract,抽象的,ˈæbstrækt,Modern art is often abstract and difficult to understand.
abundant,丰富的,əˈbʌndənt,The region has abundant natural resources.
academic,学术的,ˌækəˈdemɪk,She received several academic awards for her research.
accelerate,加速,əkˈseləreɪt,The car began to accelerate as it entered the highway.
accept,接受,əkˈsept,He decided to accept the job offer.
access,访问,ˈækses,Students have access to the library 24 hours a day.
accident,事故,ˈæksɪdənt,The accident happened at the intersection.
accommodate,容纳,əˈkɑːmədeɪt,The hotel can accommodate up to 500 guests.
accompany,陪伴,əˈkʌmpəni,Will you accompany me to the party?
accomplish,完成,əˈkʌmplɪʃ,They managed to accomplish all their goals.
according,根据,əˈkɔːrdɪŋ,According to the report, sales have increased.
account,账户,əˈkaʊnt,Please check your bank account balance.
accumulate,积累,əˈkjuːmjəleɪt,He has accumulated a large collection of books.
accurate,准确的,ˈækjərət,The measurements need to be accurate.
accuse,指控,əˈkjuːz,He was accused of stealing company funds.
achieve,实现,əˈtʃiːv,She worked hard to achieve her dreams.
acknowledge,承认,əkˈnɑːlɪdʒ,He acknowledged his mistake and apologized.
acquire,获得,əˈkwaɪər,She acquired valuable experience during her internship.
action,行动,ˈækʃn,We need to take action immediately.
active,活跃的,ˈæktɪv,He remains active in community service.
actual,实际的,ˈæktʃuəl,The actual cost was higher than estimated.
adapt,适应,əˈdæpt,Animals must adapt to their environment to survive.
add,添加,æd,Please add your name to the list.
address,地址,əˈdres,What is your home address?
adequate,足够的,ˈædɪkwət,The food supply is adequate for two weeks.
adjust,调整,əˈdʒʌst,You need to adjust the settings for better performance.
administration,管理,ədˌmɪnɪˈstreɪʃn,The new administration implemented several reforms.
admire,钦佩,ədˈmaɪər,I admire her courage and determination.
admit,承认,ədˈmɪt,He admitted that he was wrong.
adopt,采用,əˈdɑːpt,The company decided to adopt new technology.
advance,前进,ədˈvæns,The army continued to advance toward the city.
advantage,优势,ədˈvæntɪdʒ,His height gives him an advantage in basketball.
adventure,冒险,ədˈventʃər,They went on an adventure in the Amazon rainforest.
advice,建议,ədˈvaɪs,Can you give me some advice about this problem?
advocate,提倡,ˈædvəkeɪt,She advocates for environmental protection.
affair,事务,əˈfer,The minister handled the diplomatic affair skillfully.
affect,影响,əˈfekt,The weather will affect our travel plans.
afford,负担得起,əˈfɔːrd,We can't afford to buy a new car right now.
afraid,害怕的,əˈfreɪd,She is afraid of heights.
after,之后,ˈæftər,We'll meet after the meeting.
again,再次,əˈɡen,Please try again.
against,反对,əˈɡenst,They voted against the proposal.
age,年龄,eɪdʒ,What is your age?
agency,机构,ˈeɪdʒənsi,The government agency is responsible for environmental protection.
agenda,议程,əˈdʒendə,The first item on the agenda is the budget report.
agent,代理人,ˈeɪdʒənt,The real estate agent showed us several houses.
aggressive,侵略性的,əˈɡresɪv,The dog became aggressive when approached.
ago,以前,əˈɡoʊ,He left ten minutes ago.
agree,同意,əˈɡriː,Do you agree with this decision?
agriculture,农业,ˈæɡrɪkʌltʃər,Modern agriculture uses advanced technology.
ahead,在前面,əˈhed,There's a gas station ahead.
aid,援助,eɪd,The organization provides aid to disaster victims.
aim,目标,eɪm,Her aim is to become a doctor.
air,空气,er,The air in the mountains is fresh and clean.
alarm,警报,əˈlɑːrm,The fire alarm went off in the middle of the night.
alcohol,酒精,ˈælkəhɔːl,The drink contains 5% alcohol.
alert,警惕的,əˈlɜːrt,The soldiers remained alert throughout the night.
alike,相似的,əˈlaɪk,The twins look very much alike.
alive,活着的,əˈlaɪv,Three people were found alive after the earthquake.
all,全部,ɔːl,All students must attend the meeting.
allege,声称,əˈledʒ,The report alleges corruption in the department.
allow,允许,əˈlaʊ,Smoking is not allowed in this building.
almost,几乎,ˈɔːlmoʊst,Almost everyone attended the party.
alone,独自的,əˈloʊn,She prefers to work alone.
along,沿着,əˈlɔːŋ,We walked along the beach.
already,已经,ɔːlˈredi,I've already finished my homework.
also,也,ˈɔːlsoʊ,She is also interested in photography.
alter,改变,ˈɔːltər,We need to alter our plans.
